"Domain","SettingName","Class","Key","ValueName","ValueType","ChildKey","ChildValue","Category","SupportedOn","AdmxFile"
"Local","BlockKnownFolderMove","Machine","SOFTWARE\Policies\Microsoft\OneDrive","BlockKnownFolderMove","Dropdown","BlockKnownFolderMove_Dropdown","KFMBlockOptIn","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","KFMOptInWithWizard","Machine","SOFTWARE\Policies\Microsoft\OneDrive","KFMOptInWithWizard","TextBox","KFMOptInWithWizard_TextBox","KFMOptInWithWizard","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","KFMOptInNoWizard","Machine","SOFTWARE\Policies\Microsoft\OneDrive","KFMOptInNoWizard","TextBox",,"KFMSilentOptIn","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","KFMOptInNoWizard","Machine","SOFTWARE\Policies\Microsoft\OneDrive","KFMOptInNoWizard","TextBox",,"KFMSilentOptIn","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","KFMOptInNoWizard","Machine","SOFTWARE\Policies\Microsoft\OneDrive","KFMOptInNoWizard","TextBox",,"KFMSilentOptIn","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","KFMBlockOptOut","Machine","SOFTWARE\Policies\Microsoft\OneDrive","KFMBlockOptOut","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","KFMForceWindowsDisplayLanguage","Both","SOFTWARE\Policies\Microsoft\OneDrive","KfmForceWindowsDisplayLanguage","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","AutoMountTeamSites","Both","SOFTWARE\Policies\Microsoft\OneDrive","AutoMountTeamSites","List","Software\Policies\Microsoft\OneDrive\TenantAutoMount","AutoMountTeamSitesListBox","OneDriveNGSC","windows:SUPPORTED_Windows_10_0_RS3","OneDrive.admx"
"Local","DisablePauseOnBatterySaver","User","SOFTWARE\Policies\Microsoft\OneDrive","DisablePauseOnBatterySaver","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","DisablePauseOnMeteredNetwork","User","SOFTWARE\Policies\Microsoft\OneDrive","DisablePauseOnMeteredNetwork","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
