"GroupPolicyName","GroupPolicyKey","GroupPolicyValueName","IntuneDisplayName","IntuneName","IntuneKeywords","IntuneRootDefinitionId","IntuneOffsetURI","IntuneInfoUrls","IntuneMinimumSupportedVersion","IntuneWindowsSkus"
"AVD_SERVER_HEVC","SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","HEVCHardwareEncodePreferred","Configure H.265/HEVC hardware encoding for Remote Desktop Connections","AVD_SERVER_HEVC","AVD_SERVER_HEVC; Configure H.265/HEVC hardware encoding for Remote Desktop Connections; \Windows Components\Remote Desktop Services\Remote Desktop Session Host\Azure Virtual Desktop; Administrative Templates\Windows Components\Remote Desktop Services\Remote Desktop Session Host\Azure Virtual Desktop; Azure Virtual Desktop","device_vendor_msft_policy_config_terminalserver-avdv2~policy~avd_gp_node_avd_server_hevc","/Config/terminalServer-AVDv2~Policy~AVD_GP_NODE/AVD_SERVER_HEVC","",,""
"AVD_SERVER_SCREEN_CAPTURE_PROTECTION","SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","AVD_SERVER_SCREEN_CAPTURE_PROTECTION","Enable screen capture protection","AVD_SERVER_SCREEN_CAPTURE_PROTECTION","AVD_SERVER_SCREEN_CAPTURE_PROTECTION; Enable screen capture protection; \Windows Components\Remote Desktop Services\Remote Desktop Session Host\Azure Virtual Desktop; Administrative Templates\Windows Components\Remote Desktop Services\Remote Desktop Session Host\Azure Virtual Desktop; Azure Virtual Desktop","device_vendor_msft_policy_config_terminalserver-avdv1~policy~avd_gp_node_avd_server_screen_capture_protection","/Config/terminalServer-AVDv1~Policy~AVD_GP_NODE/AVD_SERVER_SCREEN_CAPTURE_PROTECTION","",,""
"AVD_SERVER_WATERMARKING","SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","fEnableWatermarking","[Deprecated] Enable watermarking","AVD_SERVER_WATERMARKING","AVD_SERVER_WATERMARKING; Enable watermarking; \Windows Components\Remote Desktop Services\Remote Desktop Session Host\Azure Virtual Desktop; Administrative Templates\Windows Components\Remote Desktop Services\Remote Desktop Session Host\Azure Virtual Desktop; Azure Virtual Desktop","device_vendor_msft_policy_config_terminalserver-avdv1~policy~avd_gp_node_avd_server_watermarking","/Config/terminalServer-AVDv1~Policy~AVD_GP_NODE/AVD_SERVER_WATERMARKING","","88.8.88888",""
"AVD_SERVER_WATERMARKING","SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","fEnableWatermarking","Enable watermarking","AVD_SERVER_WATERMARKING","AVD_SERVER_WATERMARKING; Enable watermarking; \Windows Components\Remote Desktop Services\Remote Desktop Session Host\Azure Virtual Desktop; Administrative Templates\Windows Components\Remote Desktop Services\Remote Desktop Session Host\Azure Virtual Desktop; Azure Virtual Desktop","device_vendor_msft_policy_config_terminalserver-avdv1.upadtes~policy~avd_gp_node_avd_server_watermarking","/Config/terminalServer-AVDv1.Upadtes~Policy~AVD_GP_NODE/AVD_SERVER_WATERMARKING","",,""
"AVD_SERVER_CONNECTION_INTERVAL_GRAPHICS_DATA","SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","fEnableConnectionIntervalGraphicsData","Enable Graphics related data logging for every connection interval","AVD_SERVER_CONNECTION_INTERVAL_GRAPHICS_DATA","AVD_SERVER_CONNECTION_INTERVAL_GRAPHICS_DATA; Enable Graphics related data logging for every connection interval; \Windows Components\Remote Desktop Services\Remote Desktop Session Host\Azure Virtual Desktop; Administrative Templates\Windows Components\Remote Desktop Services\Remote Desktop Session Host\Azure Virtual Desktop; Azure Virtual Desktop","device_vendor_msft_policy_config_terminalserver-avdv1~policy~avd_gp_node_avd_server_connection_interval_graphics_data","/Config/terminalServer-AVDv1~Policy~AVD_GP_NODE/AVD_SERVER_CONNECTION_INTERVAL_GRAPHICS_DATA","",,""
"AVD_SERVER_UDP_PORT_REDIRECTOR","SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","fUseUdpPortRedirector","Enable RDP Shortpath for managed networks","AVD_SERVER_UDP_PORT_REDIRECTOR","AVD_SERVER_UDP_PORT_REDIRECTOR; Enable RDP Shortpath for managed networks; \Windows Components\Remote Desktop Services\Remote Desktop Session Host\Azure Virtual Desktop; Administrative Templates\Windows Components\Remote Desktop Services\Remote Desktop Session Host\Azure Virtual Desktop; Azure Virtual Desktop","device_vendor_msft_policy_config_terminalserver-avdv1~policy~avd_gp_node_avd_server_udp_port_redirector","/Config/terminalServer-AVDv1~Policy~AVD_GP_NODE/AVD_SERVER_UDP_PORT_REDIRECTOR","",,""
"AVD_SERVER_UDP_STUN_CLIENT_PORT_RANGE","SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","ICEEnableClientPortRange","Use port range for RDP Shortpath for unmanaged networks","AVD_SERVER_UDP_STUN_CLIENT_PORT_RANGE","AVD_SERVER_UDP_STUN_CLIENT_PORT_RANGE; Use port range for RDP Shortpath for unmanaged networks; \Windows Components\Remote Desktop Services\Remote Desktop Session Host\Azure Virtual Desktop; Administrative Templates\Windows Components\Remote Desktop Services\Remote Desktop Session Host\Azure Virtual Desktop; Azure Virtual Desktop","device_vendor_msft_policy_config_terminalserver-avdv1~policy~avd_gp_node_avd_server_udp_stun_client_port_range","/Config/terminalServer-AVDv1~Policy~AVD_GP_NODE/AVD_SERVER_UDP_STUN_CLIENT_PORT_RANGE","",,""
"AVD_SERVER_UDP_STUN_CLIENT_PORT_RANGE","SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","ICEEnableClientPortRange","Use port range for RDP Shortpath for unmanaged networks","AVD_SERVER_UDP_STUN_CLIENT_PORT_RANGE","AVD_SERVER_UDP_STUN_CLIENT_PORT_RANGE; Use port range for RDP Shortpath for unmanaged networks; \Windows Components\Remote Desktop Services\Remote Desktop Session Host\Azure Virtual Desktop; Administrative Templates\Windows Components\Remote Desktop Services\Remote Desktop Session Host\Azure Virtual Desktop; Azure Virtual Desktop","device_vendor_msft_policy_config_terminalserver-avdv1~policy~avd_gp_node_avd_server_udp_stun_client_port_range","/Config/terminalServer-AVDv1~Policy~AVD_GP_NODE/AVD_SERVER_UDP_STUN_CLIENT_PORT_RANGE","",,""
